"","Origen","Destino","Precios","Proveedor","Horario_Salida","Horario_llegada","Duracion_viaje","Tipo_Servicio","Fecha"
"1","ciudad-de-mexico","morelia","$468 MXN","primera-plus","05:45 AM","– 09:30 AM","3 hrs 45 min","Servicio Primera Clase","30-Ene-19"
"2","ciudad-de-mexico","morelia","$468 MXN","primera-plus","07:15 AM","– 11:05 AM","3 hrs 50 min","Servicio Primera Clase","30-Ene-19"
"3","ciudad-de-mexico","morelia","$468 MXN","primera-plus","08:45 AM","– 12:35 PM","3 hrs 50 min","Servicio Primera Clase","30-Ene-19"
"4","ciudad-de-mexico","morelia","$468 MXN","primera-plus","10:15 AM","– 02:05 PM","3 hrs 50 min","Servicio Primera Clase","30-Ene-19"
"5","ciudad-de-mexico","morelia","$468 MXN","primera-plus","11:45 AM","– 03:35 PM","3 hrs 50 min","Servicio Primera Clase","30-Ene-19"
"6","ciudad-de-mexico","morelia","$468 MXN","primera-plus","01:15 PM","– 05:15 PM","4 horas","Servicio Primera Clase","30-Ene-19"
"7","ciudad-de-mexico","morelia","$468 MXN","primera-plus","02:45 PM","– 06:35 PM","3 hrs 50 min","Servicio Primera Clase","30-Ene-19"
"8","ciudad-de-mexico","morelia","$468 MXN","primera-plus","04:15 PM","– 08:05 PM","3 hrs 50 min","Servicio Primera Clase","30-Ene-19"
"9","ciudad-de-mexico","morelia","$468 MXN","primera-plus","05:45 PM","– 09:45 PM","4 horas","Servicio Primera Clase","30-Ene-19"
"10","ciudad-de-mexico","morelia","$468 MXN","primera-plus","07:15 PM","– 11:05 PM","3 hrs 50 min","Servicio Primera Clase","30-Ene-19"
"11","ciudad-de-mexico","morelia","$468 MXN","primera-plus","10:00 PM","– 02:00 AM","4 horas","Servicio Primera Clase","30-Ene-19"
"12","ciudad-de-mexico","morelia","$468 MXN","primera-plus","11:59 PM","– 03:50 AM","3 hrs 51 min","Servicio Primera Clase","30-Ene-19"
"13","ciudad-de-mexico","morelia","$507 MXN","autovias-la","12:15 AM","– 04:15 AM","4 horas","Servicio De Lujo","30-Ene-19"
"14","ciudad-de-mexico","morelia","$507 MXN","autovias-la","12:30 AM","– 04:30 AM","4 horas","Servicio De Lujo","30-Ene-19"
"15","ciudad-de-mexico","morelia","$507 MXN","autovias-la","01:00 AM","– 04:45 AM","3 hrs 45 min","Servicio De Lujo","30-Ene-19"
"16","ciudad-de-mexico","morelia","$507 MXN","autovias-la","01:00 AM","– 05:00 AM","4 horas","Servicio De Lujo","30-Ene-19"
"17","ciudad-de-mexico","morelia","$507 MXN","autovias-la","05:30 AM","– 09:40 AM","4 hrs 10 min","Servicio De Lujo","30-Ene-19"
"18","ciudad-de-mexico","morelia","$507 MXN","autovias-la","06:00 AM","– 10:00 AM","4 horas","Servicio De Lujo","30-Ene-19"
"19","ciudad-de-mexico","morelia","$507 MXN","autovias-la","06:20 AM","– 10:20 AM","4 horas","Servicio De Lujo","30-Ene-19"
"20","ciudad-de-mexico","morelia","$507 MXN","autovias-la","06:40 AM","– 10:50 AM","4 hrs 10 min","Servicio De Lujo","30-Ene-19"
"21","ciudad-de-mexico","morelia","$507 MXN","autovias-la","07:20 AM","– 11:30 AM","4 hrs 10 min","Servicio De Lujo","30-Ene-19"
"22","ciudad-de-mexico","morelia","$507 MXN","autovias-la","08:00 AM","– 12:00 PM","4 horas","Servicio De Lujo","30-Ene-19"
