,origen,destino
0,ciudad-de-mexico-df-(todas-las-terminales),cuernavaca-mor-(todas-las-terminales)
1,ciudad-de-mexico-df-(todas-las-terminales),chilpancingo-gro-todas-las-terminales
2,ciudad-de-mexico-df-(todas-las-terminales),zihuatanejo-gro-todas-las-terminales
3,ciudad-de-mexico-df-(todas-las-terminales),acapulco-gro(todas-las-terminales)
4,ciudad-de-mexico-df-(todas-las-terminales),tehuacan-pue
5,ciudad-de-mexico-df-(todas-las-terminales),puebla-pue-todas-las-terminales
6,ciudad-de-mexico-df-(todas-las-terminales),caxa-xalapa-ver
7,ciudad-de-mexico-df-(todas-las-terminales),cordoba-ver
8,ciudad-de-mexico-df-(todas-las-terminales),veracruz-ver-todas-las-terminales
9,ciudad-de-mexico-df-(todas-las-terminales),poza-rica-ver-todas-las-terminales
10,ciudad-de-mexico-df-(todas-las-terminales),orizaba-ver
11,ciudad-de-mexico-df-(todas-las-terminales),coatzacoalcos-ver
12,ciudad-de-mexico-df-(todas-las-terminales),oaxaca-oax-todas-las-terminales
13,ciudad-de-mexico-df-(todas-las-terminales),huatulco-oax
14,ciudad-de-mexico-df-(todas-las-terminales),puerto-escondido-oax
15,ciudad-de-mexico-df-(todas-las-terminales),salina-cruz-oax
16,ciudad-de-mexico-df-(todas-las-terminales),minatitlan-ver-todas-las-terminales
17,ciudad-de-mexico-df-(todas-las-terminales),cardenas-tab-todas-las-terminales
18,ciudad-de-mexico-df-(todas-las-terminales),villahermosa-tab-todas-las-terminales
19,ciudad-de-mexico-df-(todas-las-terminales),tuxtla-gutierrez-chis-todas-las-terminales
20,ciudad-de-mexico-df-(todas-las-terminales),palenque-chis
21,ciudad-de-mexico-df-(todas-las-terminales),ciudad-del-carmen-camp-todas-las-terminales
22,ciudad-de-mexico-df-(todas-las-terminales),campeche-camp
23,ciudad-de-mexico-df-(todas-las-terminales),merida-yuc-todas-las-terminales
24,ciudad-de-mexico-df-(todas-las-terminales),cancun-qr-todas-las-terminales
